avg_backlog_drift,avg_lower_mf_loss,avg_lower_td_loss,avg_realized_delay,avg_remaining_tasks,avg_upper_mf_loss,avg_upper_td_loss,completion_rate,lower_q_max,lower_q_mean,lower_q_min,qos_rate,qos_success_rate,total_energy,total_reward,total_violations,upper_q_max,upper_q_mean,upper_q_min,zeta_lower,zeta_upper
56124532.0,0.08016388863325119,0.0,0.0,18.709999084472656,0.0,0.0,0.7618801652892562,0.0,0.0,0.0,3.2924107142857144,0.767030681227249,2237.298095703125,-37917433856.0,448.0,0.0,0.0,0.0,1.0,1.0
119885536.0,0.06553628295660019,0.0,0.0,17.100000381469727,0.0,0.0,0.7690710949662688,0.0,0.0,0.0,3.4626168224299065,0.7759162303664922,2371.233154296875,-47369580544.0,428.0,0.0,0.0,0.0,1.0,1.0
67531312.0,0.054486941546201706,0.0,0.0,17.010000228881836,0.0,0.0,0.7867494824016563,0.0,0.0,0.0,3.867684478371501,0.7945635128071092,1993.642333984375,-26378871808.0,393.0,0.0,0.0,0.0,1.0,1.0
81677592.0,0.046002570539712906,0.0,0.0,18.84000015258789,0.0,0.0,0.764033264033264,0.0,0.0,0.0,3.394919168591224,0.7724645296899633,2284.4794921875,-46656890880.0,433.0,0.0,0.0,0.0,1.0,1.0
74118480.0,0.03838198632001877,0.0,0.0,19.06999969482422,0.0,0.0,0.7740607308286156,0.0,0.0,0.0,3.5555555555555554,0.7804878048780488,2333.96875,-25798918144.0,423.0,0.0,0.0,0.0,1.0,1.0
93869352.0,0.03405756503343582,0.0,0.0,18.600000381469727,0.0,0.0,0.7331256490134995,0.0,0.0,0.0,2.9173553719008263,0.7447257383966245,2131.875,-33127483392.0,484.0,0.0,0.0,0.0,1.0,1.0
80659648.0,0.0309439804404974,0.0,0.0,18.959999084472656,0.0,0.0,0.7664271047227926,0.0,0.0,0.0,3.504694835680751,0.778009379885357,2365.090087890625,-30456696832.0,426.0,0.0,0.0,0.0,1.0,1.0
97375128.0,0.02976345270872116,0.0,0.0,19.43000030517578,0.0,0.0,0.744258872651357,0.0,0.0,0.0,2.98326359832636,0.7489495798319328,2344.56591796875,-43806359552.0,478.0,0.0,0.0,0.0,1.0,1.0
64623636.0,0.027634022757411003,0.0,0.0,15.970000267028809,0.0,0.0,0.7912144702842377,0.0,0.0,0.0,3.956072351421189,0.7982273201251303,2318.8505859375,-28187857920.0,387.0,0.0,0.0,0.0,1.0,1.0
60290236.0,0.025543823838233948,0.0,0.0,15.510000228881836,0.0,0.0,0.7918598660484286,0.0,0.0,0.0,3.981865284974093,0.7992719708788352,2221.148193359375,-50410332160.0,386.0,0.0,0.0,0.0,1.0,1.0
80677848.0,0.025226950645446777,0.0,0.0,18.520000457763672,0.0,0.0,0.7379596064215432,0.0,0.0,0.0,2.914110429447853,0.7445141065830722,2422.101318359375,-31234469888.0,489.0,0.0,0.0,0.0,1.0,1.0
117154424.0,0.025027912110090256,0.0,0.0,19.139999389648438,0.0,0.0,0.7705002578648789,0.0,0.0,0.0,3.426605504587156,0.7740932642487046,2285.4169921875,-49723002880.0,436.0,0.0,0.0,0.0,1.0,1.0
55465168.0,0.024445414543151855,18.1558895111084,0.0,16.100000381469727,0.0,0.0,0.7832817337461301,0.0,0.0,0.0,3.757425742574257,0.7898022892819979,2518.32666015625,-37022480384.0,404.0,0.0,0.0,0.0,1.0,1.0
74264872.0,0.024051105603575706,17.958301544189453,0.0,17.850000381469727,0.02043667435646057,0.0,0.7757638529259451,0.0,0.0,0.0,3.583732057416268,0.7818371607515657,2267.5810546875,-36223987712.0,418.0,0.0,0.0,0.0,1.0,1.0
86008936.0,0.02395743317902088,16.66621971130371,0.0,18.829999923706055,0.018193848431110382,0.0,0.7863729508196722,0.0,0.0,0.0,3.8375,0.7932816537467701,2151.6708984375,-45454639104.0,400.0,0.0,0.0,0.0,1.0,1.0
111976624.0,0.023731425404548645,15.950243949890137,0.0,21.290000915527344,0.021974962204694748,181.007080078125,0.7515337423312883,0.0,0.0,0.0,3.1749460043196542,0.760475944128298,1969.7532958984375,-64162281472.0,463.0,0.0,0.0,0.0,1.0,1.0
73886112.0,0.02400228939950466,16.085926055908203,0.0,18.799999237060547,0.021154459565877914,172.0770263671875,0.7757731958762887,0.0,0.0,0.0,3.6265060240963853,0.7838541666666666,2371.826171875,-51576610816.0,415.0,0.0,0.0,0.0,1.0,1.0
93166272.0,0.023516636341810226,14.604778289794922,0.0,18.649999618530273,0.01785390079021454,170.751708984375,0.7859721505930892,0.0,0.0,0.0,3.819548872180451,0.7925117004680188,2172.10498046875,-36820285440.0,399.0,0.0,0.0,0.0,1.0,1.0
62215900.0,0.02320050448179245,14.641249656677246,0.0,17.700000762939453,0.019420526921749115,153.12452697753906,0.7766233766233767,0.0,0.0,0.0,3.6463414634146343,0.7847769028871391,2319.745849609375,-69844686848.0,410.0,0.0,0.0,0.0,1.0,1.0
