avg_backlog_drift,avg_lower_mf_loss,avg_lower_td_loss,avg_realized_delay,avg_remaining_tasks,avg_upper_mf_loss,avg_upper_td_loss,avg_virtual_drift,completion_rate,lower_q_max,lower_q_mean,lower_q_min,qos_rate,qos_success_rate,total_energy,total_reward,total_violations,upper_q_max,upper_q_mean,upper_q_min,zeta_lower,zeta_upper
83403760.0,0.15448908507823944,0.0,0.9155958294868469,18.309999465942383,0.0,0.0,137714000.0,0.7822245322245323,0.0,0.0,0.0,3.7160493827160495,0.7879581151832461,2168.596435546875,-30452558336.0,405.0,0.0,0.0,0.0,1.0,1.0
52954960.0,0.1133064478635788,0.0,0.9381563663482666,16.440000534057617,0.0,0.0,99382024.0,0.7650727650727651,0.0,0.0,0.0,3.4232558139534883,0.7739221871713985,2440.01953125,-20529625600.0,430.0,0.0,0.0,0.0,1.0,1.0
101794344.0,0.08060993254184723,0.0,0.9467629790306091,19.479999542236328,0.0,0.0,101291168.0,0.7674537987679672,0.0,0.0,0.0,3.4288990825688073,0.7742102537545313,2120.815673828125,-30488422400.0,436.0,0.0,0.0,0.0,1.0,1.0
60216324.0,0.061882440000772476,0.0,0.9426500797271729,16.469999313354492,0.0,0.0,100632856.0,0.7782994261867501,0.0,0.0,0.0,3.6390243902439026,0.7844374342797056,2296.1416015625,-22106959872.0,410.0,0.0,0.0,0.0,1.0,1.0
79962760.0,0.05229908972978592,0.0,1.006353735923767,18.969999313354492,0.0,0.0,120016224.0,0.7750257997936016,0.0,0.0,0.0,3.5761904761904764,0.7814776274713839,2425.56884765625,-27994594304.0,420.0,0.0,0.0,0.0,1.0,1.0
68999984.0,0.04895860329270363,0.0,0.9008852243423462,17.34000015258789,0.0,0.0,151103184.0,0.7809768637532134,0.0,0.0,0.0,3.6602409638554216,0.7854188210961738,2181.74609375,-28910733312.0,415.0,0.0,0.0,0.0,1.0,1.0
104269080.0,0.05076736584305763,0.0,0.9923417568206787,19.5,0.0,0.0,130989160.0,0.7576227390180879,0.0,0.0,0.0,3.286995515695067,0.7667364016736402,2282.541015625,-33953175552.0,446.0,0.0,0.0,0.0,1.0,1.0
102467808.0,0.0482398085296154,0.0,0.9463369846343994,18.459999084472656,0.0,0.0,140154144.0,0.7361546499477534,0.0,0.0,0.0,2.89917695473251,0.7435356200527704,2429.17431640625,-34509458432.0,486.0,0.0,0.0,0.0,1.0,1.0
126387320.0,0.052260369062423706,0.0,1.0146921873092651,21.25,0.0,0.0,250103216.0,0.7401129943502824,0.0,0.0,0.0,2.9650205761316872,0.7477944992215879,2370.399658203125,-50288270336.0,486.0,0.0,0.0,0.0,1.0,1.0
71922704.0,0.049156952649354935,0.0,0.968855619430542,17.700000762939453,0.0,0.0,223102256.0,0.7807017543859649,0.0,0.0,0.0,3.6902439024390246,0.7867914716588663,2166.115234375,-36695176192.0,410.0,0.0,0.0,0.0,1.0,1.0
83545336.0,0.04800713434815407,0.0,0.9088062047958374,18.219999313354492,0.0,0.0,148462400.0,0.7620528771384136,0.0,0.0,0.0,3.4265734265734267,0.7740916271721959,2363.75146484375,-31555734528.0,429.0,0.0,0.0,0.0,1.0,1.0
58066968.0,0.04734495282173157,0.0,0.9108790755271912,15.770000457763672,0.0,0.0,99683208.0,0.7921609076843734,0.0,0.0,0.0,4.074270557029178,0.8029273392577104,2400.84033203125,-21582093312.0,377.0,0.0,0.0,0.0,1.0,1.0
